study,studyid,rob
1,Nuwa2025,1
2,Traore2024,0
3,Chandramohan2021,0
4,Ndiaye2019,0
5,Thera2018,1
6,Tagbor2016,0
7,Cisse2016,0
8,Zongo2015,0
9,Tine2011,1
10,Dicko2011,0
11,Konate2011,0
12,Sesay2011,0
13,Bojang2010,0
15,Sokhna2008,1
16,Dicko2008,1
17,Kweku2008,0
18,Cisse2006,0
19,Bojang22010,0
