study,studyid,trt1,n1,t1,trt2,n2,t2,trt3,n3,t3,trt4,n4,t4
10,Dicko2011,spaq,19,475,placebo,9,473,,,,,,
11,Konate2011,spaq,368,1339,placebo,122,1257,,,,,,
13,Bojang2010,spaq,19,329,dp,17,325,sppq,25,331,,,
15,Sokhna2008,spaq,57,509,sp1as,8,504,asaq,31,495,sp3as,9,501
