study,studyid,trt1,n1,t1,trt2,n2,t2,trt3,n3,t3,trt4,n4,t4
10,Dicko2011,spaq,46,686,placebo,31,669,,,,,,
11,Konate2011,spaq,96,1339,placebo,88,1257,,,,,,
13,Bojang2010,spaq,45,329,dp,44,325,sppq,34,331,,,
15,Sokhna2008,spaq,24,509,sp1as,13,504,asaq,26,495,sp3as,14,501
