study,studyid,trt1,n1,t1,trt2,n2,t2,trt3,n3,t3,trt4,n4,t4
10,Dicko2011,spaq,56,686,placebo,40,631,,,,,,
11,Konate2011,spaq,70,1339,placebo,74,1257,,,,,,
13,Bojang2010,spaq,51,329,dp,51,325,sppq,63,331,,,
