study,studyid,trt1,n1,t1,trt2,n2,t2,trt3,n3,t3,trt4,n4,t4
10,Dicko2011,spaq,13,686,placebo,5,668,,,,,,
11,Konate2011,spaq,5,1339,placebo,3,1257,,,,,,
13,Bojang2010,spaq,28,329,dp,22,325,sppq,25,331,,,
