study,studyid,trt1,n1,t1,trt2,n2,t2,trt3,n3,t3,trt4,n4,t4
13,Bojang2010,spaq,9,329,dp,9,325,sppq,14,331,,,
15,Sokhna2008,spaq,29,509,sp1as,6,504,asaq,12,495,sp3as,2,501
