label,est,lo,hi,weight,type
SPAQ,0.253298,0.236742339,0.269954431,906.582908,study
DHAPQ,0.195260595,0.164324182,0.232588571,214.5910384,study
"Seasonal RTS,S",0.258477769,0.214372011,0.309595296,110.2842993,study
"SPAQ + Seasonal RTS,S",0.071887706,0.05567921,0.093169737,711.4705432,study
ASAQ (monthly),0.325373068,0.256572058,0.411063015,41.89805639,study
SPPQ,0.144555179,0.091030238,0.224690343,55.97529682,study
SPAS / SP (monthly),0.36668052,0.305058148,0.442763882,52.73463598,study
SP (bimonthly),0.548761307,0.453768203,0.656813221,24.25578449,study
ASAQ (bimonthly),0.685643748,0.55141798,0.864976813,10.1709594,study
