"label","est","lo","hi","weight","type"
"SPAQ + Seasonal RTS,S",0.180084209869869,0.103342592233358,0.311300470601452,355.321410968307,"study"
"SPAQ",0.322248415012581,0.212515807221032,0.47363992068686,225.360696898098,"study"
"Seasonal RTS,S",0.418377719104487,0.257271787269347,0.679166981438572,86.3302457851808,"study"
"SP (bimonthly)",0.471988772154213,0.207810048929024,1.02196615388798,23.1823130658131,"study"
